Insert,Search,Collisions
39,24,0
33,30,0
33,23,0
29,26,2
27,23,2
27,23,2
27,25,0
26,23,0
27,23,6
26,23,6
28,25,6
29,23,5
25,24,6
23,24,4
26,24,4
25,23,6
23,24,8
25,24,4
23,24,4
25,24,6
24,26,8
20,24,2
24,24,13
25,25,4
22,26,2
23,222,8
24,26,2
25,26,8
23,27,10
28,162,18
23,25,2
212,25,8
22,24,5
28,37,17
24,26,12
29,27,13
29,29,34
27,29,25
30,29,18
31,29,9
26,27,12
25,30,20
25,29,17
25,28,16
27,30,37
26,32,18
30,26,21
22,27,11
24,27,24
24,26,17
28,26,23
24,28,16
23,26,18
24,27,17
21,26,15
23,27,23
22,26,20
23,26,26
27,26,24
25,27,29
27,26,36
28,28,40
213,29,20
26,27,23
26,27,37
24,27,26
24,26,21
28,27,29
25,27,25
24,28,21
25,28,21
26,29,27
24,34,32
29,28,41
26,31,16
26,30,36
26,29,27
26,28,30
25,168,24
29,31,33
27,30,20
26,28,30
27,29,35
35,30,45
27,29,24
25,28,34
26,28,30
25,29,34
28,27,32
32,29,47
29,32,47
57,31,42
30,31,22
31,31,48
28,165,38
30,28,50
29,35,46
26,32,38
27,30,32
167,33,49
